kum	 verb-pres 	kum	Intransitive:    (archaic) To die ; Compare 'gum
spos	 verb-past 	spo	Transitive:  Voluntary:  To alter, change ; To change, transfer, shift, to apply some illustration or reasons, to prove some other facts in some manner, to step ; 1. To move by taking steps. 2. To raise the location of something ; 1. To change, transform. 2. To classify ;{:tag :ref, :attrs nil, :content ["(Beyer 1992: 83)"]}
spo	 verb-fut 	spo	Transitive:  Voluntary:  To alter, change ; To change, transfer, shift, to apply some illustration or reasons, to prove some other facts in some manner, to step ; 1. To move by taking steps. 2. To raise the location of something ; 1. To change, transform. 2. To classify ;{:tag :ref, :attrs nil, :content ["(Beyer 1992: 83)"]}
spog	 verb-pres 	spog	Transitive:  Voluntary:  To carry elsewhere, remove ; To cause to rise up, to jump up, to cause to become superior, to promote, to send, to cause to move ; To raise from a low level to a high level ; 1. To mix, combine. 2. To raise, move to another place ;
spags	 verb-past 	spog	Transitive:  Voluntary:  To carry elsewhere, remove ; To cause to rise up, to jump up, to cause to become superior, to promote, to send, to cause to move ; To raise from a low level to a high level ; 1. To mix, combine. 2. To raise, move to another place ;
spag	 verb-fut 	spog	Transitive:  Voluntary:  To carry elsewhere, remove ; To cause to rise up, to jump up, to cause to become superior, to promote, to send, to cause to move ; To raise from a low level to a high level ; 1. To mix, combine. 2. To raise, move to another place ;
spong	 verb-pres 	spong	Transitive:  Voluntary:  To abandon, renounce, leave, deliver up, reject, throw out ; To give up, abandon, to renounce, to practice ; To get rid of, hide away. 2. To separate, break a connection ; To clear away, get rid of ;
spangs	 verb-past 	spong	Transitive:  Voluntary:  To abandon, renounce, leave, deliver up, reject, throw out ; To give up, abandon, to renounce, to practice ; To get rid of, hide away. 2. To separate, break a connection ; To clear away, get rid of ;
spang	 verb-fut 	spong	Transitive:  Voluntary:  To abandon, renounce, leave, deliver up, reject, throw out ; To give up, abandon, to renounce, to practice ; To get rid of, hide away. 2. To separate, break a connection ; To clear away, get rid of ;
spobs	 verb-pres 	spobs	  To dare, venture ;
spobs	 verb-past 	spobs	  To dare, venture ;
spobs	 verb-fut 	spobs	  To dare, venture ;
	 verb-pres 	spobs	  
	 verb-past 	spobs	  
	 verb-fut 	spobs	  
spor	 verb-pres 	spor	Transitive:  Voluntary:  To elevate, raise ; 1. To increase, raise, promote. 2. To light a fire ; To move from a previous place to another. 2. For something fixed (e.g. a wall) to quiver, slant, and fall. 3. To put in a higher place ; 1. To set on fire. 2. To raise a price. 3. To put in a higher place. 4. (archaic) To change, shift, alter ;
spar(d)	 verb-past 	spor	Transitive:  Voluntary:  To elevate, raise ; 1. To increase, raise, promote. 2. To light a fire ; To move from a previous place to another. 2. For something fixed (e.g. a wall) to quiver, slant, and fall. 3. To put in a higher place ; 1. To set on fire. 2. To raise a price. 3. To put in a higher place. 4. (archaic) To change, shift, alter ;
spar	 verb-fut 	spor	Transitive:  Voluntary:  To elevate, raise ; 1. To increase, raise, promote. 2. To light a fire ; To move from a previous place to another. 2. For something fixed (e.g. a wall) to quiver, slant, and fall. 3. To put in a higher place ; 1. To set on fire. 2. To raise a price. 3. To put in a higher place. 4. (archaic) To change, shift, alter ;
spor	 verb-pres 	spor	Transitive:   1. To move from an earlier place to another place. 2. To change, exchange ;
spor	 verb-past 	spor	Transitive:   1. To move from an earlier place to another place. 2. To change, exchange ;
spor	 verb-fut 	spor	Transitive:   1. To move from an earlier place to another place. 2. To change, exchange ;
spyang	 verb-pres 	spyang	Intransitive:   To keenly feel, to experience clearly ;
spyang	 verb-past 	spyang	Intransitive:   To keenly feel, to experience clearly ;
spyang	 verb-fut 	spyang	Intransitive:   To keenly feel, to experience clearly ;
spyang	 verb-pres 	spyang	Transitive:  Voluntary:  To suspend, make hand down (Jä) ; To hang down, dangle down (a rope &c.) ;
spyangs	 verb-past 	spyang	Transitive:  Voluntary:  To suspend, make hand down (Jä) ; To hang down, dangle down (a rope &c.) ;
spyang	 verb-fut 	spyang	Transitive:  Voluntary:  To suspend, make hand down (Jä) ; To hang down, dangle down (a rope &c.) ;
spying	 verb-pres 	spying	Transitive:  Voluntary:  To vanish, be lost, to sink, lower down, dip under ; To cause to sink down, to submerge ; To make something sink into water ; To make sink ;
spyings	 verb-past 	spying	Transitive:  Voluntary:  To vanish, be lost, to sink, lower down, dip under ; To cause to sink down, to submerge ; To make something sink into water ; To make sink ;
spying	 verb-fut 	spying	Transitive:  Voluntary:  To vanish, be lost, to sink, lower down, dip under ; To cause to sink down, to submerge ; To make something sink into water ; To make sink ;
spyil	 verb-pres 	spyil	Transitive:   To plaster (mud &c.) ;
spyil	 verb-past 	spyil	Transitive:   To plaster (mud &c.) ;
spyil	 verb-fut 	spyil	Transitive:   To plaster (mud &c.) ;
spyug	 verb-pres 	spyug	Transitive:  Voluntary:  To expel, drive out, banish ; To expel, drive out, send out from a country ; To punish by expelling, driving out to another land a man who has broken the law at a previous time ; To send off elsewhere, to drive away, expel ;
spyugs	 verb-past 	spyug	Transitive:  Voluntary:  To expel, drive out, banish ; To expel, drive out, send out from a country ; To punish by expelling, driving out to another land a man who has broken the law at a previous time ; To send off elsewhere, to drive away, expel ;
spyug	 verb-fut 	spyug	Transitive:  Voluntary:  To expel, drive out, banish ; To expel, drive out, send out from a country ; To punish by expelling, driving out to another land a man who has broken the law at a previous time ; To send off elsewhere, to drive away, expel ;
spyo	 verb-pres 	spyo	Transitive:  Voluntary:  To abuse, revile, blame, scold ; To scold, blame with angry words, to reprove ; To threaten, menace with forceful and bellicose words ; To use harsh words, criticize, threaten, menace ;{:tag :ref, :attrs nil, :content ["(Beyer 1992: 83) ."]}
spyos	 verb-past 	spyo	Transitive:  Voluntary:  To abuse, revile, blame, scold ; To scold, blame with angry words, to reprove ; To threaten, menace with forceful and bellicose words ; To use harsh words, criticize, threaten, menace ;{:tag :ref, :attrs nil, :content ["(Beyer 1992: 83) ."]}
spyo	 verb-fut 	spyo	Transitive:  Voluntary:  To abuse, revile, blame, scold ; To scold, blame with angry words, to reprove ; To threaten, menace with forceful and bellicose words ; To use harsh words, criticize, threaten, menace ;{:tag :ref, :attrs nil, :content ["(Beyer 1992: 83) ."]}
spyod	 verb-pres 	spyod	Transitive:  Voluntary:  1. To practice, perform, accomplish, perpetrate, succeed in ; To put to use, to make use of, utilize, to take pain for a success, to face some difficulty or difficulties ; 1. To eat, wear (food, clothes &c.). 2. To do ; 1. To do, cause. 2. To experience deterioration, to be used ;
spyad	 verb-past 	spyod	Transitive:  Voluntary:  1. To practice, perform, accomplish, perpetrate, succeed in ; To put to use, to make use of, utilize, to take pain for a success, to face some difficulty or difficulties ; 1. To eat, wear (food, clothes &c.). 2. To do ; 1. To do, cause. 2. To experience deterioration, to be used ;
spyad	 verb-fut 	spyod	Transitive:  Voluntary:  1. To practice, perform, accomplish, perpetrate, succeed in ; To put to use, to make use of, utilize, to take pain for a success, to face some difficulty or difficulties ; 1. To eat, wear (food, clothes &c.). 2. To do ; 1. To do, cause. 2. To experience deterioration, to be used ;
spyon	 verb-pres 	spyon	Intransitive:  Voluntary:  (archaic, honorific) To come, arrive ; To make one go, make one come ; (honorific) To exhort to come hither ; To come, to arrive ;
byon(d)	 verb-past 	spyon	Intransitive:  Voluntary:  (archaic, honorific) To come, arrive ; To make one go, make one come ; (honorific) To exhort to come hither ; To come, to arrive ;
'byon	 verb-fut 	spyon	Intransitive:  Voluntary:  (archaic, honorific) To come, arrive ; To make one go, make one come ; (honorific) To exhort to come hither ; To come, to arrive ;
spyom	 verb-pres 	spyom	Transitive:  Voluntary:  To boast, to exhibit with ostentation ; To self-praise, to boast ; To show off (good qualities &c.) to others ; To show off, to exaggerate for others ;
spyoms	 verb-past 	spyom	Transitive:  Voluntary:  To boast, to exhibit with ostentation ; To self-praise, to boast ; To show off (good qualities &c.) to others ; To show off, to exaggerate for others ;
spyom	 verb-fut 	spyom	Transitive:  Voluntary:  To boast, to exhibit with ostentation ; To self-praise, to boast ; To show off (good qualities &c.) to others ; To show off, to exaggerate for others ;
sprang	 verb-pres 	sprang	Intransitive:   To wander without livelihood in order to beg (food &c.) ;
sprang	 verb-past 	sprang	Intransitive:   To wander without livelihood in order to beg (food &c.) ;
sprang	 verb-fut 	sprang	Intransitive:   To wander without livelihood in order to beg (food &c.) ;
spras	 verb-pres 	spras	Transitive:  Voluntary:  To adorn, to decorate ; To put on, wear, beautify ; To decorate (with ornaments &c.) ; To decorate, embellish, ornament ; Compare spa
spras	 verb-past 	spras	Transitive:  Voluntary:  To adorn, to decorate ; To put on, wear, beautify ; To decorate (with ornaments &c.) ; To decorate, embellish, ornament ; Compare spa
spras	 verb-fut 	spras	Transitive:  Voluntary:  To adorn, to decorate ; To put on, wear, beautify ; To decorate (with ornaments &c.) ; To decorate, embellish, ornament ; Compare spa
spring	 verb-pres 	spring	Transitive:  Voluntary:  To send a message, to give information, to send word ; To send a letter &c ; To give, send a letter ; To send, bestow, prolong ;{:tag :ref, :attrs nil, :content ["(Takeuchi 1990b: 181) ."]}
springs	 verb-past 	spring	Transitive:  Voluntary:  To send a message, to give information, to send word ; To send a letter &c ; To give, send a letter ; To send, bestow, prolong ;{:tag :ref, :attrs nil, :content ["(Takeuchi 1990b: 181) ."]}
spring	 verb-fut 	spring	Transitive:  Voluntary:  To send a message, to give information, to send word ; To send a letter &c ; To give, send a letter ; To send, bestow, prolong ;{:tag :ref, :attrs nil, :content ["(Takeuchi 1990b: 181) ."]}
sprib	 verb-pres 	sprib	  To be hungry (Sch.) ; (archaic) To be hungry ;
spribs	 verb-past 	sprib	  To be hungry (Sch.) ; (archaic) To be hungry ;
sprib	 verb-fut 	sprib	  To be hungry (Sch.) ; (archaic) To be hungry ;
sprug	 verb-pres 	sprug	Intransitive:  Voluntary:  To shake, to shake off, to beat out (e.g. dust) ; To shake off, to shake ; To move back and forth quickly ; To shake, agitate. 2. (archaic) To be finished, spent. 3. (archaic) To purify ;
sprugs	 verb-past 	sprug	Intransitive:  Voluntary:  To shake, to shake off, to beat out (e.g. dust) ; To shake off, to shake ; To move back and forth quickly ; To shake, agitate. 2. (archaic) To be finished, spent. 3. (archaic) To purify ;
sprug	 verb-fut 	sprug	Intransitive:  Voluntary:  To shake, to shake off, to beat out (e.g. dust) ; To shake off, to shake ; To move back and forth quickly ; To shake, agitate. 2. (archaic) To be finished, spent. 3. (archaic) To purify ;
sprul	 verb-pres 	sprul	Intransitive:  Voluntary:  To appear to change, to transform one's self, to cause illusions, to alter an object by magic ; To transform, to perform miracles, to exhibit a miracle, to incarnate ; To change (of speech by superstition or divine stories) ; To manifest (of the body of Buddha which arises because of Buddhist teachings) ;
sprul(d)	 verb-past 	sprul	Intransitive:  Voluntary:  To appear to change, to transform one's self, to cause illusions, to alter an object by magic ; To transform, to perform miracles, to exhibit a miracle, to incarnate ; To change (of speech by superstition or divine stories) ; To manifest (of the body of Buddha which arises because of Buddhist teachings) ;
sprul	 verb-fut 	sprul	Intransitive:  Voluntary:  To appear to change, to transform one's self, to cause illusions, to alter an object by magic ; To transform, to perform miracles, to exhibit a miracle, to incarnate ; To change (of speech by superstition or divine stories) ; To manifest (of the body of Buddha which arises because of Buddhist teachings) ;
spro	 verb-pres 	spro	Intransitive:  Involuntary:  To feel energy for, incline toward, to delight in ; To be happy, to be delighted ;
spro	 verb-past 	spro	Intransitive:  Involuntary:  To feel energy for, incline toward, to delight in ; To be happy, to be delighted ;
spro	 verb-fut 	spro	Intransitive:  Involuntary:  To feel energy for, incline toward, to delight in ; To be happy, to be delighted ;
spro	 verb-pres 	spro	Transitive:  Voluntary:  1. To go out, proceed (of light, of the wind). 2. To enlarge upon by way of explaining ; To focus rays, enlarge, spread out ; 1. To make light spread. 2. To shoot out quickly ; 1. To disseminate, spread, produce. 2. (dialect) To warm up ;
spros	 verb-past 	spro	Transitive:  Voluntary:  1. To go out, proceed (of light, of the wind). 2. To enlarge upon by way of explaining ; To focus rays, enlarge, spread out ; 1. To make light spread. 2. To shoot out quickly ; 1. To disseminate, spread, produce. 2. (dialect) To warm up ;
spro	 verb-fut 	spro	Transitive:  Voluntary:  1. To go out, proceed (of light, of the wind). 2. To enlarge upon by way of explaining ; To focus rays, enlarge, spread out ; 1. To make light spread. 2. To shoot out quickly ; 1. To disseminate, spread, produce. 2. (dialect) To warm up ;
sprod	 verb-pres 	sprod	Transitive:  Voluntary:  1. To bring together, to put together, to make to meet. 2. To deliver a message. 3. To pay. 4. To explain ; 1. To give, contribute. 2. To cause to meet, cause to fight, introduce. 3. To prove ; 1. To give. 2. To entrust with, charge with. 3. To send, cause to be obtained in hand. 4. To bind, tighten. 5. To cause to understand through clear explanation. 6. To make to mutually meet, to introduce ; 1. To give, send. 2. To join together, meet ;
sprad	 verb-past 	sprod	Transitive:  Voluntary:  1. To bring together, to put together, to make to meet. 2. To deliver a message. 3. To pay. 4. To explain ; 1. To give, contribute. 2. To cause to meet, cause to fight, introduce. 3. To prove ; 1. To give. 2. To entrust with, charge with. 3. To send, cause to be obtained in hand. 4. To bind, tighten. 5. To cause to understand through clear explanation. 6. To make to mutually meet, to introduce ; 1. To give, send. 2. To join together, meet ;
sprad	 verb-fut 	sprod	Transitive:  Voluntary:  1. To bring together, to put together, to make to meet. 2. To deliver a message. 3. To pay. 4. To explain ; 1. To give, contribute. 2. To cause to meet, cause to fight, introduce. 3. To prove ; 1. To give. 2. To entrust with, charge with. 3. To send, cause to be obtained in hand. 4. To bind, tighten. 5. To cause to understand through clear explanation. 6. To make to mutually meet, to introduce ; 1. To give, send. 2. To join together, meet ;
spros	 verb-pres 	spros	Transitive:   To speak extensively ;
spros	 verb-past 	spros	Transitive:   To speak extensively ;
spos	 verb-fut 	spros	Transitive:   To speak extensively ;
'phang	 verb-pres 	phangs	Intransitive:   To feel for losing something or someone; 1. To be affectionate, near at hear. 2. To be sad, remorseful ;
phangs	 verb-past 	phangs	Intransitive:   To feel for losing something or someone; 1. To be affectionate, near at hear. 2. To be sad, remorseful ;
phang	 verb-fut 	phangs	Intransitive:   To feel for losing something or someone; 1. To be affectionate, near at hear. 2. To be sad, remorseful ;
phan	 verb-pres 	phan	Intransitive:  Involuntary:  To benefit, to be of use, to be useful ; To benefit, to be of use, to be useful, to be helpful ; 1. To be able, for good fruit to arise ; To be helpful ;
phan(d)	 verb-past 	phan	Intransitive:  Involuntary:  To benefit, to be of use, to be useful ; To benefit, to be of use, to be useful, to be helpful ; 1. To be able, for good fruit to arise ; To be helpful ;
phan	 verb-fut 	phan	Intransitive:  Involuntary:  To benefit, to be of use, to be useful ; To benefit, to be of use, to be useful, to be helpful ; 1. To be able, for good fruit to arise ; To be helpful ;
phigs	 verb-pres 	phigs	Intransitive: Involuntary:  1. To comprehend. 2. (dialect) To open, puncture ; Compare 'bigs
phigs	 verb-past 	phigs	Intransitive: Involuntary:  1. To comprehend. 2. (dialect) To open, puncture ; Compare 'bigs
phigs	 verb-fut 	phigs	Intransitive: Involuntary:  1. To comprehend. 2. (dialect) To open, puncture ; Compare 'bigs
phir	 verb-pres 	phir	  (in West) To fall down (Jä) ;
	 verb-past 	phir	  (in West) To fall down (Jä) ;
	 verb-fut 	phir	  (in West) To fall down (Jä) ;
phub	 verb-pres 	phub	  To probe into, to penetrate into the meaning, to get at the sense ;
	 verb-past 	phub	  To probe into, to penetrate into the meaning, to get at the sense ;
	 verb-fut 	phub	  To probe into, to penetrate into the meaning, to get at the sense ;
phed	 verb-pres 	phed	Transitive:  Voluntary:  To be able to cut, slice (wood &c.), to be able to excavate, dig (a tooth &c.) ;
phed	 verb-past 	phed	Transitive:  Voluntary:  To be able to cut, slice (wood &c.), to be able to excavate, dig (a tooth &c.) ;
phed	 verb-fut 	phed	Transitive:  Voluntary:  To be able to cut, slice (wood &c.), to be able to excavate, dig (a tooth &c.) ;
pheb	 verb-pres 	phebs	Intransitive:  Voluntary:  (honorific) To come, arrive, go, depart ; To go, come, to move ; (honorific) To go, come, arrive ; (honorific) To go, come ;
phebs	 verb-past 	phebs	Intransitive:  Voluntary:  (honorific) To come, arrive, go, depart ; To go, come, to move ; (honorific) To go, come, arrive ; (honorific) To go, come ;
phebs	 verb-fut 	phebs	Intransitive:  Voluntary:  (honorific) To come, arrive, go, depart ; To go, come, to move ; (honorific) To go, come, arrive ; (honorific) To go, come ;
	 verb-pres 	phe'u	  {:tag :ref, :attrs nil, :content ["(Denwood 1991: 136) ."]}
	 verb-past 	phe'u	  {:tag :ref, :attrs nil, :content ["(Denwood 1991: 136) ."]}
	 verb-fut 	phe'u	  {:tag :ref, :attrs nil, :content ["(Denwood 1991: 136) ."]}
pher	 verb-pres 	pher	Transitive:   To be able, capable of, equal to ; To be able, to be allowed ;
pher	 verb-past 	pher	Transitive:   To be able, capable of, equal to ; To be able, to be allowed ;
pher	 verb-fut 	pher	Transitive:   To be able, capable of, equal to ; To be able, to be allowed ;
phongs	 verb-pres 	phongs	  To save, spare, to use economy ;
phang	 verb-past 	phongs	  To save, spare, to use economy ;
	 verb-fut 	phongs	  To save, spare, to use economy ;
'phod	 verb-pres 	phod	  1. To cope with, to be able, to coerce. 2. To withstand, to be a match for ; To be capable of taking risk, to be courageous, to be able of taking decisions ; To have courage, to be able ;
phod	 verb-past 	phod	  1. To cope with, to be able, to coerce. 2. To withstand, to be a match for ; To be capable of taking risk, to be courageous, to be able of taking decisions ; To have courage, to be able ;
'phod	 verb-fut 	phod	  1. To cope with, to be able, to coerce. 2. To withstand, to be a match for ; To be capable of taking risk, to be courageous, to be able of taking decisions ; To have courage, to be able ;
phyid	 verb-pres 	phyid	Intransitive:   1. To suffice, to be sufficient. 2. To freeze, become frozen ; For skin and flesh of a body and organic matter to change nature having frozen ;
phyid	 verb-past 	phyid	Intransitive:   1. To suffice, to be sufficient. 2. To freeze, become frozen ; For skin and flesh of a body and organic matter to change nature having frozen ;
phyid	 verb-fut 	phyid	Intransitive:   1. To suffice, to be sufficient. 2. To freeze, become frozen ; For skin and flesh of a body and organic matter to change nature having frozen ;
phyin(d)	 verb-pres 	phyin	Intransitive:   To go, arrive ;generally regarded as the past of 'gro
phyin(d)	 verb-past 	phyin	Intransitive:   To go, arrive ;generally regarded as the past of 'gro
phyin	 verb-fut 	phyin	Intransitive:   To go, arrive ;generally regarded as the past of 'gro
phyis	 verb-pres 	phyis	Intransitive:   For a foetus to develop in the womb ;
phyis	 verb-past 	phyis	Intransitive:   For a foetus to develop in the womb ;
phyis	 verb-fut 	phyis	Intransitive:   For a foetus to develop in the womb ;
phyug	 verb-pres 	phyug	Intransitive:  Involuntary:  To enrich, to become rich ; To have many things ; To have great things, have many things ;
phyug	 verb-past 	phyug	Intransitive:  Involuntary:  To enrich, to become rich ; To have many things ; To have great things, have many things ;
phyug	 verb-fut 	phyug	Intransitive:  Involuntary:  To enrich, to become rich ; To have many things ; To have great things, have many things ;
phyed	 verb-pres 	phyed	Intransitive:  Involuntary:  To change ; To change, to be separated ; 1. To distribute, to separate individually. 2. To change ; 1. To distinguish, separate, separate boundaries. 2. To divide mentally, to know characteristics ;{:tag :ref, :attrs nil, :content ["(Stein 1939: 306-7, 1942: 230) ."]}
phyed	 verb-past 	phyed	Intransitive:  Involuntary:  To change ; To change, to be separated ; 1. To distribute, to separate individually. 2. To change ; 1. To distinguish, separate, separate boundaries. 2. To divide mentally, to know characteristics ;{:tag :ref, :attrs nil, :content ["(Stein 1939: 306-7, 1942: 230) ."]}
phyed	 verb-fut 	phyed	Intransitive:  Involuntary:  To change ; To change, to be separated ; 1. To distribute, to separate individually. 2. To change ; 1. To distinguish, separate, separate boundaries. 2. To divide mentally, to know characteristics ;{:tag :ref, :attrs nil, :content ["(Stein 1939: 306-7, 1942: 230) ."]}
phyo phyo	 verb-pres 	phyo	  To incite or set on a dog ; To order a dog to bite someone ; A sound to incite, provoke a dog ;
phyo	 verb-past 	phyo	  To incite or set on a dog ; To order a dog to bite someone ; A sound to incite, provoke a dog ;
phyo	 verb-fut 	phyo	  To incite or set on a dog ; To order a dog to bite someone ; A sound to incite, provoke a dog ;
phyogs	 verb-pres 	phyogs	Intransitive:  Involuntary:  1. To go aside, diverge, to turn. 2. To become visible, to make evident to ; To divert, turn aside, go aside ; To turn ; `1. To face. 2. To enter upon an action. 3. To mentally attend to ;
phyogs	 verb-past 	phyogs	Intransitive:  Involuntary:  1. To go aside, diverge, to turn. 2. To become visible, to make evident to ; To divert, turn aside, go aside ; To turn ; `1. To face. 2. To enter upon an action. 3. To mentally attend to ;
phyogs	 verb-fut 	phyogs	Intransitive:  Involuntary:  1. To go aside, diverge, to turn. 2. To become visible, to make evident to ; To divert, turn aside, go aside ; To turn ; `1. To face. 2. To enter upon an action. 3. To mentally attend to ;
phyod	 verb-pres 	phyod	  To be thorough, to carry through ;
	 verb-past 	phyod	  To be thorough, to carry through ;
	 verb-fut 	phyod	  To be thorough, to carry through ;
phras	 verb-pres 	phras	Intransitive:   To stretch out the hands and feet ;
phras	 verb-past 	phras	Intransitive:   To stretch out the hands and feet ;
phras	 verb-fut 	phras	Intransitive:   To stretch out the hands and feet ;
phrul	 verb-pres 	phrul	Intransitive:  Involuntary:  To hang down ;
phrul	 verb-past 	phrul	Intransitive:  Involuntary:  To hang down ;
phrul	 verb-fut 	phrul	Intransitive:  Involuntary:  To hang down ;
'phag	 verb-pres 	'phag	Intransitive:   For living creatures to shake, quiver ;
'phag	 verb-past 	'phag	Intransitive:   For living creatures to shake, quiver ;
'phag	 verb-fut 	'phag	Intransitive:   For living creatures to shake, quiver ;
'phag	 verb-pres 	'phag	Intransitive:  Involuntary:  To rise up, to be elevated, to raise one's self, to be uplifted or raised, to ascend ; To bounce, to jump up, to be elevated ; 1. To become higher in the upward direction. 2. To surpass ; To fly, flutter upward ;The verb tables of TC
'phags	 verb-past 	'phag	Intransitive:  Involuntary:  To rise up, to be elevated, to raise one's self, to be uplifted or raised, to ascend ; To bounce, to jump up, to be elevated ; 1. To become higher in the upward direction. 2. To surpass ; To fly, flutter upward ;The verb tables of TC
'phag	 verb-fut 	'phag	Intransitive:  Involuntary:  To rise up, to be elevated, to raise one's self, to be uplifted or raised, to ascend ; To bounce, to jump up, to be elevated ; 1. To become higher in the upward direction. 2. To surpass ; To fly, flutter upward ;The verb tables of TC
'phang	 verb-pres 	'phang	  To save, spare, use economy (Jä) ; To cause to be avaricious ;
phangs	 verb-past 	'phang	  To save, spare, use economy (Jä) ; To cause to be avaricious ;
phang	 verb-fut 	'phang	  To save, spare, use economy (Jä) ; To cause to be avaricious ;
'pham	 verb-pres 	'pham	Intransitive:  Involuntary:  To be defeated, subdued, vanquished, worsted, to succumb ; To be defeated, to lose, fail, to feel dissatisfactory, to feel sorry ; 1. To be defeated. 2. To deteriorate, weaken (belief, mental vigor &c.) ; To be defeated unmatched by the other side ;
pham	 verb-past 	'pham	Intransitive:  Involuntary:  To be defeated, subdued, vanquished, worsted, to succumb ; To be defeated, to lose, fail, to feel dissatisfactory, to feel sorry ; 1. To be defeated. 2. To deteriorate, weaken (belief, mental vigor &c.) ; To be defeated unmatched by the other side ;
pham	 verb-fut 	'pham	Intransitive:  Involuntary:  To be defeated, subdued, vanquished, worsted, to succumb ; To be defeated, to lose, fail, to feel dissatisfactory, to feel sorry ; 1. To be defeated. 2. To deteriorate, weaken (belief, mental vigor &c.) ; To be defeated unmatched by the other side ;
'phar	 verb-pres 	'phar	Intransitive:  Involuntary:  1. To leap up, to fly up, to bound, to throb. 2. To be raised, elevated, promoted, advanced. 3. To flutter, to move to and fro (A. 16) ; To increase, to become higher, increase, to go higher up, fly up, to pulse ; 1. To multiply. 2. To get larger, higher. 3. To move to and fro ; 1. To raise up, tremble. 2. To increase, multiply ;{:tag :ref, :attrs nil, :content ["(Simon 1971: 474)"]}
'phar(d)	 verb-past 	'phar	Intransitive:  Involuntary:  1. To leap up, to fly up, to bound, to throb. 2. To be raised, elevated, promoted, advanced. 3. To flutter, to move to and fro (A. 16) ; To increase, to become higher, increase, to go higher up, fly up, to pulse ; 1. To multiply. 2. To get larger, higher. 3. To move to and fro ; 1. To raise up, tremble. 2. To increase, multiply ;{:tag :ref, :attrs nil, :content ["(Simon 1971: 474)"]}
'phar	 verb-fut 	'phar	Intransitive:  Involuntary:  1. To leap up, to fly up, to bound, to throb. 2. To be raised, elevated, promoted, advanced. 3. To flutter, to move to and fro (A. 16) ; To increase, to become higher, increase, to go higher up, fly up, to pulse ; 1. To multiply. 2. To get larger, higher. 3. To move to and fro ; 1. To raise up, tremble. 2. To increase, multiply ;{:tag :ref, :attrs nil, :content ["(Simon 1971: 474)"]}
'phibs	 verb-pres 	'phibs	 Voluntary:  To pitch a tent, roof, umbrella ; Compare 'bubs
phib	 verb-past 	'phibs	 Voluntary:  To pitch a tent, roof, umbrella ; Compare 'bubs
dbib	 verb-fut 	'phibs	 Voluntary:  To pitch a tent, roof, umbrella ; Compare 'bubs
'phir(d)	 verb-pres 	'phir(d)	  To jump, leap, sparkle ;
phir	 verb-past 	'phir(d)	  To jump, leap, sparkle ;
'phir	 verb-fut 	'phir(d)	  To jump, leap, sparkle ;
'phung	 verb-pres 	'phung	Intransitive:  Involuntary:  To degenerate, decay, to be in declining circumstances, to wear away ; To ruin, to degenerate, to decay ; To destroy, harm, injure ; 1. To lose, destroy, harm, injure. 2. To be collected together, to compound, assemble, collect ;
phung	 verb-past 	'phung	Intransitive:  Involuntary:  To degenerate, decay, to be in declining circumstances, to wear away ; To ruin, to degenerate, to decay ; To destroy, harm, injure ; 1. To lose, destroy, harm, injure. 2. To be collected together, to compound, assemble, collect ;
'phung	 verb-fut 	'phung	Intransitive:  Involuntary:  To degenerate, decay, to be in declining circumstances, to wear away ; To ruin, to degenerate, to decay ; To destroy, harm, injure ; 1. To lose, destroy, harm, injure. 2. To be collected together, to compound, assemble, collect ;
'phud	 verb-pres 	'phud	Transitive:  Voluntary:  To transfer, lay aside, to put apart ; 1. To take out from among, to expel. 2. To take from the body (wool &c.). 3. To take something from one direction and drive away ;  To expel out, drive away ;
phud	 verb-past 	'phud	Transitive:  Voluntary:  To transfer, lay aside, to put apart ; 1. To take out from among, to expel. 2. To take from the body (wool &c.). 3. To take something from one direction and drive away ;  To expel out, drive away ;
phud	 verb-fut 	'phud	Transitive:  Voluntary:  To transfer, lay aside, to put apart ; 1. To take out from among, to expel. 2. To take from the body (wool &c.). 3. To take something from one direction and drive away ;  To expel out, drive away ;
'phur	 verb-pres 	'phur	Transitive:  Voluntary:  To rub with the hand (e.g. in washing), to scratch softly (Jä) ; To rub, to tan ; To touch again and again in the same place, to rub ; To tan, to scratch ;
phur	 verb-past 	'phur	Transitive:  Voluntary:  To rub with the hand (e.g. in washing), to scratch softly (Jä) ; To rub, to tan ; To touch again and again in the same place, to rub ; To tan, to scratch ;
dbur	 verb-fut 	'phur	Transitive:  Voluntary:  To rub with the hand (e.g. in washing), to scratch softly (Jä) ; To rub, to tan ; To touch again and again in the same place, to rub ; To tan, to scratch ;
'phur	 verb-pres 	'phur	Intransitive:  Involuntary:  1. To fly. 2. To fan, flop to and fro ; To fly, to fly in the sky ; 1. (of a bird or kind of insect) To use wings to go, come in the intermediate space between heaven and earth. 2. For something to float, fly in the sky ; To go in the sky, fly in the intermediate space between heaven and earth ;{:tag :ref, :attrs nil, :content ["(Simon 1971: 474)"]}
'phur(d)	 verb-past 	'phur	Intransitive:  Involuntary:  1. To fly. 2. To fan, flop to and fro ; To fly, to fly in the sky ; 1. (of a bird or kind of insect) To use wings to go, come in the intermediate space between heaven and earth. 2. For something to float, fly in the sky ; To go in the sky, fly in the intermediate space between heaven and earth ;{:tag :ref, :attrs nil, :content ["(Simon 1971: 474)"]}
